text_chunk,sentiment
"having tried a couple of other brands of gluten-free sandwich cookies, these are the best of the bunch. they're crunchy and true to the texture of the other ""real"" cookies that aren't gluten-free. some might think that the filling makes them a bit too sweet, but for me that just means i've satisfied my sweet tooth sooner! the chocolate version from glutino is just as good and has a true ""chocolatey"" taste - something that isn't there with the other gluten-free brands out there.",positive
"my cat loves these treats. if ever i can't find her in the house, i just pop the top and she bolts out of wherever she was hiding to come get a treat. she doesn't like crunchy treats much, so these are perfect for her. i've given her all three flavors and she seems to like them all equally. they do tend to dry out by the time i near the end of the bottle, however. the flip-top lid is very handy. very nice, inexpensive kitty treats. i have yet to meet a cat that doesn't just love these!",positive
"first there was frosted mini-wheats, in original size, then there was frosted mini-wheats bite size. well, if for some reason those were too much of a mouthful, we now have frosted mini-wheats little bits. yes, these are about half the size of the bite size versions. this particular one is ""cinnamon roll"".<br /><br />there is nothing new to the table here with the exception of size, which i is unnecessary. personally, i like original flavor and size the best. but the bite size edition were accommodating. these come off as a desperate attempt to give attention to a brand that needs some sort of life put back into it and all they came up with was making them smaller and having a new flavor, which is actually too sweet for me.<br /><br />a serving size is approximately 47 biscuits. thats 1 gram of polyunsaturated fat, 46 grams of carbohydrates, 6g fiber, 12g of sugar, 5g of protein and 200mg of potassium. generally they look good but i guess those that are watching their carb intake might want to be careful.<br /><br />these probably fit on a spoon better than its predecessors in a bowl of milk, but i like the",negative
"fiber, 12g of sugar, 5g of protein and 200mg of potassium. generally they look good but i guess those that are watching their carb intake might want to be careful.<br /><br />these probably fit on a spoon better than its predecessors in a bowl of milk, but i like the other kinds cause they snack better without the milk. but here, these small ones are easily to snack more than you should.<br /><br />i am grading this product 2 stars for 3 reasons 1) i dont think making them smaller has any reason for existing outside of kellogs filling the shelves with more versions of something that was fine to begin with. 2) this flavor, cinnamon roll, is sweet and has a synthetic taste to it. 3) on the plus side, i like mini-wheats in general, so it saved it from being one star.",negative
"and i want to congratulate the graphic artist for putting the entire product name on such a small box. the ad men must have really thought long and hard.<br /><br />but seriously, i love the product. the taste was refreshing and i thought that the taste was pleasing with no aftertaste. not too sweet and goldilocks would have stopped right there if there was a choice of 3. easy to use as you just pour the contents into a 16 oz bottle of water and shake. mixed well, no granulation, you really couldn't ask for anything more and lipton like a good drug dealer knows what they are doing, give me a taste for free and have me for life. 5 stars.",positive
i absolutely love yorkshire tea and am so glad it is now available on amazon! a cup of this full-bodied black tea with milk in the morning is how i start each day and just love it!,positive
i have such a hard time finding loose tea locally. being able to order my favorite lady grey tea on amazon is convenient and timesaving. the tea comes in a six-pack of tins that are just the right size to insure continued freshness. speedy shipping too!,positive
"previously, i've attempted a recipe with white rice noodles and overcooked them, which made them soggy. so i was determined not to overcook these brown rice noodles. i tried making two dishes. the first was a miso soup with brown rice noodles, which was really just broth with miso and green onions and the noodles added when it was hot. the noodles softened and puffed up, but i think i should of softened them in water and maybe rinsed them first. the broth ended up being a little starchy from the noodles, but it was pretty good.<br /><br />the noodles by themselves don't really have any flavor, they just take on the flavor of whatever dish they are in. so the rice noodles in miso probably wasn't the best idea because the mild miso flavor didn't really give the noodles much flavor. i also tried stir frying the noodles which was much better. i just soaked the noodles in hot water, for about a minute, and then drained them. they came out clear and kind of crunchy. then i stir fried them with garlic, onion, salt, and coconut oil. i also added some vinegar and nama shoyu for flavor. these",positive
"was much better. i just soaked the noodles in hot water, for about a minute, and then drained them. they came out clear and kind of crunchy. then i stir fried them with garlic, onion, salt, and coconut oil. i also added some vinegar and nama shoyu for flavor. these noodles came out crunchy and spicy and actually were pretty good.<br /><br />the nice thing about these noodles is they only need about a minute in warm water and then they can be fried or added to soups or other dishes, so they are fairly versatile. they are also gluten free and the brown rice noodles seem more firm than the white rice noodles. as another reviewer posted it does look like these noodles are made in singapore.",positive
"i make pancakes or waffles every saturday morning with my kids, and there simply is no comparison between this product and any other baking powder i have come across. even the more expensive brands from trader joe's or whole foods pale in comparison. batter comes out light and fluffy every time, and my kids love them. i have also been known to eat a pancake or two. get the pack of 6 and store up.",positive
